"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Samoa Americana","ASM","Consumo de energía procedente de combustibles fósiles (% del total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG","Consumo de energía procedente de combustibles fósiles (% del total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","0","0","0","0","","","","","","",
"Australia","AUS","Consumo de energía procedente de combustibles fósiles (% del total)","EG.USE.COMM.FO.ZS","85.9066921051014","86.2519118081624","87.0699343177534","87.1282176890453","87.9758065870172","88.0419910201296","89.241768668373","89.5008498800854","90.1046147901523","90.2696204282356","91.5311097444868","91.1777751858804","91.3055885105058","92.0978248911432","91.8273159566514","91.7809079296036","91.8876225773847","92.6790197830382","92.6549893999076","92.8209410670809","93.1825120512617","92.7755789006832","92.9254455862167","92.8592730426925","93.2064321067881","92.9073064160545","93.4170622712498","93.7288518114152","93.6698247191786","93.8484123718171","93.9007552476619","93.6875058877636","94.340730110107","93.7742739308459","93.912150800672","93.8226729102929","93.6600654845657","93.5132294311393","93.8798698534114","93.9284984002224","93.9582360731234","93.7416366983859","93.6940281078145","93.887205771505","94.0693124345107","94.2171092189966","94.122924722787","94.1218289807055","94.1495768111598","95.3240507079021","95.0733255771467","94.8466759309009","95.3677975161994","",
"Austria","AUT","Consumo de energía procedente de combustibles fósiles (% del total)","EG.USE.COMM.FO.ZS","85.4407470888762","86.6094140073205","87.4039052282535","87.8694242222934","89.088399872067","87.9776218275116","87.487815914146","87.745472224895","88.4945394525215","89.511758479888","88.9920425798706","90.1996936930923","90.1237315946295","89.7744624110537","88.6524826113177","88.3989888891821","89.5996842441772","88.1923619073637","87.6089528998579","87.0076277971248","85.8952161640127","83.9637602213638","82.7415870578848","82.4458922245564","81.8351143304607","81.0428122917776","79.7483965569474","79.5788581060508","74.6931538340652","76.5443492778046","79.1028575212488","79.095028671585","77.2004688678391","76.9730410231764","77.5520180919873","77.9468111675719","78.1587326742921","78.3797922096555","78.4813273137113","76.5636068186231","76.4963153738814","76.8581347026394","77.3485401726559","78.5379130332261","77.9705119792026","77.033354500253","74.6972035732363","72.7029463673743","71.5507805319856","70.0375471466775","70.0559512217511","68.7494917669194","67.0771522725246","",
"Azerbaiyán","AZE","Consumo de energía procedente de combustibles fósiles (% del total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9049942153701","99.9029526940148","99.3210106510741","98.5850255250983","98.6647960587745","98.6597331823098","98.3942668679038","97.8980980107919","98.2379538358473","98.0526344009183","98.2879019249229","98.3921182899603","97.3146739728947","96.9492359889219","97.134998981277","97.1165437641463","97.6056206360843","97.7647620090939","98.3023894062578","97.9165420559338","96.9325771328858","97.862527646283","","",
"Burundi","BDI","Consumo de energía procedente de combustibles fósiles (% del total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bélgica","BEL","Consumo de energía procedente de combustibles fósiles (% del total)","EG.USE.COMM.FO.ZS","99.9220481082214","100.017121581699","100.098879294656","100.071059134472","100.024109011975","99.9267996697609","99.9304318884676","99.7885364364997","99.9009190916956","100.012725247442","99.8288252764552","100.078066982737","100.063868850865","100.047394398567","99.8939104223414","95.9133119867883","94.8136198266922","93.2292938831387","93.4557117422936","93.9612423820143","93.3180307224243","92.0389425681611","89.8835379284084","84.3814801349241","82.6724392611059","79.1482061515232","77.0655362705528","76.4532518970812","76.0867525372498","77.0167328821936","75.9872020110415","76.6299422409514","76.1792438953855","76.1877018594927","77.8171514729723","77.5606728624956","77.8458275001601","76.1404452451685","77.2777783213471","76.1146599345238","76.0670227948556","75.8620136309326","74.8209097274622","75.7942130336591","75.3331014072572","74.998017478293","74.0812354312896","73.058599028461","73.8553564435338","73.6074440217367","73.8567538833531","68.7548141437195","70.0941030705678","",
"Benin","BEN","Consumo de energía procedente de combustibles fósiles (% del total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","9.04045148410195","11.4224789658217","11.450271920699","11.5809138487745","12.3083925317516","7.69540816622725","8.92907490115918","9.82017818013937","9.7257345435338","9.6979039591882","7.29178469835359","8.53732390333295","8.28318391801911","8.48530161427358","10.1516597262917","8.71648235359086","7.52161469070614","7.27781008792889","5.45782439573539","4.83899802265073","3.8547050809111","3.93128468023306","3.83551065425908","3.86555942305149","3.78088065705484","13.3320500821327","17.3218748641596","17.3304954808638","21.0072842277264","25.4861878174381","27.4652770202784","29.6471225919176","32.0774443011719","32.8223793969496","31.0497602314262","36.3254111857721","39.6692503365258","39.0758613914131","39.8016789157276","41.5541857358705","41.7051057611313","","",
"Burkina Faso","BFA","Consumo de energía procedente de combustibles fósiles (% del total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Consumo de energía procedente de combustibles fósiles (% del total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","21.3797084279832","20.7064232290252","24.21142072085","25.4494154452184","24.684872684774","27.4255111979353","27.2929588648206","28.2340554125717","29.4209028267759","32.1460692464068","32.707389083731","34.9540647747128","33.3787244559023","34.9078948822791","37.3187402923955","39.0788597007831","43.8643430444615","44.1755625374728","45.0633390170478","45.5148210123731","44.6743131891762","46.7300655594069","49.4465127443604","50.2406338478769","54.3998193356181","56.0677983442138","56.5643321001927","57.5953446161351","57.2652905686648","58.7282068814427","61.2709005193801","61.709977944391","62.7908464406691","63.6266855768852","65.1471561927951","66.7524742242769","68.0151120790496","69.0637549039129","70.2441207628991","71.4115957852544","71.5258583054425","","",
