"country","code","year","prod_ktOil","use_ktOil","nuclearPerc","importPerc","renewPerc","fosilPerc"
"Ecuador","ECU",1999,21260.69,7716.689,8.02328563455129,-175.515703691052,10.394730175079,81.5552499264905
"Ecuador","ECU",2000,22452.499,7814.753,8.39893468162078,-187.309131843322,8.92404404848112,82.6770212698981
"Ecuador","ECU",2001,22780.924,8442.124,7.22784929479832,-169.848251458993,8.63961486469519,84.1101362642861
"Ecuador","ECU",2002,22130.605,9176.964,7.07557532098851,-141.153882700205,7.93687324043115,84.9350831059161
"Ecuador","ECU",2003,23552.419,9712.311,6.38195173115853,-142.500667451856,6.63539295642407,86.0502407717381
"Ecuador","ECU",2004,29116.369,10277.549,6.22518073132028,-183.300707201688,5.63358053559268,86.7965504226737
"Ecuador","ECU",2005,29363.328,11048.084,5.37988306388691,-165.777559258239,5.18534254446291,88.1060191070234
"Ecuador","ECU",2006,29629.024,10255.178,6.00297722769902,-188.917696016588,5.64843438114872,87.0328140574449
"Ecuador","ECU",2007,28686.109,11332.2,6.88042921939253,-153.138040274616,6.42000670655301,86.0757399269339
"Ecuador","ECU",2008,28524.066,10973.274,8.87591068991807,-159.941253631323,5.96299700526935,84.7990125827533
"Ecuador","ECU",2009,28414.095,12678.342,6.2767355542231,-124.115227369636,4.85516954819487,88.1226267598713
"Ecuador","ECU",2010,27359.374,12428.132,5.9976028577746,-120.140677617521,5.22368928814081,88.1815304182479
"Ecuador","ECU",2011,28329.36,12941.611,7.41895270998332,-118.901340799071,5.44429901346903,86.2854941320675
"El Salvador","SLV",1971,1254.892,1752.011,2.56231267954368,28.3741939976404,69.0634933228159,28.3742510749076
"El Salvador","SLV",1972,1294.219,1873.01,2.02946060085104,30.9016502848356,67.0688891143133,30.9016502848356
"El Salvador","SLV",1973,1331.474,1979.593,2.13740905327509,32.7400127197863,65.1225782269386,32.7400632352206
"El Salvador","SLV",1974,1392.418,2024.113,2.38781135242943,31.2084849017817,66.4037037457889,31.2084849017817
"El Salvador","SLV",1975,1560.391,2260.102,7.4024535175846,30.9592664401872,61.6382800422282,30.9592664401872
"El Salvador","SLV",1976,1900.439,2609.878,18.1696615703876,27.1828414968056,54.6474969328068,27.1828414968056
"El Salvador","SLV",1977,1964.42,2693.086,17.9436898784517,27.0569153751495,54.9993947463987,27.0569153751495
"El Salvador","SLV",1978,2093.834,2851.494,20.0976751134668,26.5706327981051,53.331692088428,26.5706327981051
"El Salvador","SLV",1979,2054.563,2781.165,17.9943656705014,26.1258141821862,55.8798201473124,26.1258501383413
"El Salvador","SLV",1980,1912.451,2518.954,20.0209690212684,24.0775734689875,55.9014575097441,24.0776131680054
"El Salvador","SLV",1981,2147.68,2721.723,26.899173795423,21.0911617383547,52.0096644662223,21.0911617383547
"El Salvador","SLV",1982,2249.54,2810.864,28.6640335498267,19.9698028791148,51.3661635710586,19.9698384553646
"El Salvador","SLV",1983,2140.146,2701.793,23.9064576745887,20.7879360113821,55.3056063140292,20.7879730238401
"El Salvador","SLV",1984,2182.884,2757.784,23.9074561314447,20.8464477275958,55.2460961409596,20.8465202495917
"El Salvador","SLV",1985,2008.121,2624.342,17.6612270809216,23.4809716111696,58.8578013079088,23.4810097159593
"El Salvador","SLV",1986,1650.616,2279.235,18.7136034678302,27.580262675854,53.7061338563158,27.2482214427209
"El Salvador","SLV",1987,1799.07,2543.532,18.5366254483922,29.2688277560495,52.1945467955583,29.2417787548967
"El Salvador","SLV",1988,1641.557,2373.224,20.2945023310063,30.8300859927255,48.8754116762682,30.7032121704483
"El Salvador","SLV",1989,1654.572,2432.88,20.6203758508434,31.9912202821348,47.3884038670218,31.9771217651508
"El Salvador","SLV",1990,1692.471,2468.711,20.3318249888302,31.4431296332377,48.2250453779321,31.4362029415351
"El Salvador","SLV",1991,1717.533,2714.332,17.478038795549,36.7235474510856,45.7984137533655,36.7077056159674
"El Salvador","SLV",1992,1748.195,2833.321,16.1616350565291,38.2987314180074,45.5396335254636,38.140895436839
