"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Bulgaria","BGR","Importaciones de energía, valor neto (% del uso de energía)","EG.IMP.CONS.ZS","","","","","","","","","","","","69.9777917979613","71.1585577944266","73.3028393568952","75.8926276414761","73.5923508689089","73.8894901902779","74.7645406624899","75.2436902503559","74.0703714733229","72.74581902654","69.8816583340212","68.2985150716174","67.9799589087928","67.2425861163563","68.9004620273825","68.0554708226265","67.1830834125548","66.4841424870857","66.6625707943264","65.9659622298939","61.2110430524059","56.9677597682206","57.8905665666229","55.6890763719978","55.2866152213058","53.5304944217938","50.906075063196","49.2918381196214","49.8785224309171","46.934541174577","46.537730556279","43.6768433044427","47.4436096930866","45.4647098275218","46.483118015635","46.0535879940949","50.4288315670777","48.1852950296015","43.7865775167827","40.8264927168205","35.6279204295848","","",
"Bahrein","BHR","Importaciones de energía, valor neto (% del uso de energía)","EG.IMP.CONS.ZS","","","","","","","","","","","","-657.248334438266","-636.505156048007","-432.42018377659","-404.996734937752","-367.0683361813","-279.93337919841","-382.900901786333","-361.379957484474","-300.301476969066","-327.351080276895","-317.204864808953","-203.162787828031","-194.070342248185","-209.683916222404","-166.601069857116","-254.82928286903","-266.628202582943","-222.775381924235","-220.741609949589","-208.885806397034","-221.082616359571","-211.740465211372","-197.573787828155","-174.585361910247","-176.789097029002","-180.449970382375","-163.905860519546","-153.274441083415","-156.971640992245","-153.385588511022","-144.998937185172","-137.356946564316","-131.536330373932","-127.062978029939","-119.990063271295","-103.839672280481","-89.8762559154823","-79.0051399729999","-87.8887961294137","-87.1314080230412","-90.2115590034237","","",
"Bahamas","BHS","Importaciones de energía, valor neto (% del uso de energía)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia y Herzegovina","BIH","Importaciones de energía, valor neto (% del uso de energía)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.3892409879395","31.573246451425","18.1264356112279","15.60340173551","47.1707145753981","45.3306411241423","36.4378489507412","20.3572821674015","23.072714899198","21.1113039043652","29.2263639982237","26.3084936120616","24.8667649290441","20.8091823503184","25.3953241840187","27.6810077115031","26.2846577477849","30.5593944849493","28.8598611723911","28.1608956609525","32.1996898013473","34.8776809332665","","",
"Belarús","BLR","Importaciones de energía, valor neto (% del uso de energía)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.6587771260379","92.1609865232314","90.5359665491177","89.7734863433474","87.123753783293","86.5892382076335","86.9107982055666","86.9151147243215","87.1357098032738","85.4989770543383","85.7454208686581","85.4681092965334","85.4252028546011","86.2351027384159","86.5042208966732","85.8056541158772","86.3451567737119","85.7642010386959","85.8170666504758","84.9577188080157","85.0287198176801","85.4403957729772","","",
"Belice","BLZ","Importaciones de energía, valor neto (% del uso de energía)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermudas","BMU","Importaciones de energía, valor neto (% del uso de energía)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Importaciones de energía, valor neto (% del uso de energía)","EG.IMP.CONS.ZS","","","","","","","","","","","","-124.871746636411","-235.721079143514","-282.703274840373","-248.763942425822","-188.01326149237","-169.357077279838","-140.369130109398","-114.637516587728","-91.3304173721087","-78.5691289455459","-75.8807883789129","-74.8975656293445","-87.898887019552","-85.9674273022505","-87.4835865374886","-95.3311146521949","-100.571890464535","-100.849948271182","-93.468452058469","-88.5859562068512","-87.7137681496001","-77.4394579960631","-71.6688530078475","-68.4554110611544","-55.2783106823848","-44.1016452743821","-28.1881854694142","-27.0090718629735","-15.9214814894233","-48.3109916988499","-114.46205226719","-99.9226826484212","-118.213034660767","-197.133962905366","-168.672575421522","-127.532281044735","-188.773241937679","-170.828116654919","-128.826661426444","-128.063878318709","-133.689713998059","","",
"Brasil","BRA","Importaciones de energía, valor neto (% del uso de energía)","EG.IMP.CONS.ZS","","","","","","","","","","","","29.5916029804543","32.6562454219387","37.4900446368206","38.591920235533","40.8383653255661","43.3259794225886","43.500956533284","45.622860969152","45.8252407522829","43.4837881889966","39.0850510830707","36.0082300468896","29.6351630874595","22.3729212662294","20.838783234113","24.6711753410133","24.9929120802778","26.5215476036646","25.9422996540366","25.7212405316603","26.6880037080823","27.4567692223174","28.6000085522993","28.9512746307315","30.4417068617466","30.0995256810591","29.1674790542005","26.8935611661908","24.2592510043698","21.2336727629311","20.4791232013179","14.509854345803","10.3887976650494","13.1302407635801","9.57924369157645","7.40195792432915","8.08406871709725","8.20685614072271","4.09842320891438","7.24278220733298","7.71282842054226","","",
"Barbados","BRB","Importaciones de energía, valor neto (% del uso de energía)","EG.IMP.CONS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
